Pnum,Owner,Species,State.code,Closed,Clear.date,Suspected.predation,Lay.date,Expected.hatch.date,Hatch.date,Total.egg.weight,Num.eggs.weighed,Clutch.size,Num.chicks,Num.chicks.ringed,Num.dead.chicks,Num.fledglings,Mean.chick.weight,Father,Mother,Dead.ringed.chick.ids,Comments
20201B3,Keith Mc Mahon,g,6,TRUE,04/06/2020,NA,19/04/2020,08/05/2020,08/05/2020,5.1,3,7,6,6,0,6,19.5,NA,vz30775,NA,no sign of male
20201B30,Keith Mc Mahon,NA,6,TRUE,26/05/2020,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
20201B31,Keith Mc Mahon,g,6,TRUE,04/06/2020,NA,24/04/2020,13/05/2020,12/05/2020,5.5,3,7,7,7,0,7,17.26,tr42596,tw77053,NA,female unringed
20201B32,Keith Mc Mahon,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
20201B33,Keith Mc Mahon,b,6,TRUE,04/06/2020,NA,23/04/2020,14/05/2020,14/05/2020,2.9,3,9,8,8,2,6,9.55,NA,j215738,"avl3475, avl3478","not hatched, nothing on fp"
20201B34,Keith Mc Mahon,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
20201B35,Keith Mc Mahon,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
20201B36,Keith Mc Mahon,b,6,TRUE,24/05/2020,NA,26/04/2020,13/05/2020,NA,2.8,3,5,NA,0,0,0,NA,NA,NA,NA,"not hatched, not hatched, not hatched, not hatched, not hatched, not hatched, very long incubation, eggs now cold"
20201B37,Keith Mc Mahon,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
20201B38,Keith Mc Mahon,b,6,TRUE,04/06/2020,NA,19/04/2020,09/05/2020,08/05/2020,3.4,3,8,8,8,0,8,10.8,j215730,s882605,NA,NA
20201B39,Keith Mc Mahon,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
20201B4,Keith Mc Mahon,g,6,TRUE,26/05/2020,NA,13/04/2020,04/05/2020,04/05/2020,4.9,3,9,9,9,0,9,18.87,tr43324,vz32629,NA,not hatched female off nest
20201B40,Keith Mc Mahon,b,6,TRUE,16/06/2020,NA,23/04/2020,13/05/2020,15/05/2020,3,3,8,7,0,3,0,NA,avl3008,s884676,NA,not hatched
20201B42,Keith Mc Mahon,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
20201B43,Keith Mc Mahon,g,6,TRUE,04/06/2020,NA,24/04/2020,14/05/2020,14/05/2020,5.6,3,8,7,5,0,5,15.82,vz30787,tw77126,NA,"female unringed, not hatched"
20201B44,Keith Mc Mahon,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
20201B45,Keith Mc Mahon,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
20201B46,Keith Mc Mahon,b,6,TRUE,04/06/2020,NA,18/04/2020,10/05/2020,10/05/2020,3.1,3,11,10,10,0,10,10.85,abj6131,avl3015,NA,not hatched female ringed
20201B47,Keith Mc Mahon,NA,6,TRUE,23/05/2020,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
20201B48,Keith Mc Mahon,g,6,TRUE,16/06/2020,NA,24/04/2020,13/05/2020,15/05/2020,5.1,3,7,6,3,0,3,16.07,NA,tr43327,NA,"not hatched, not hatched, nothing caught, birds alarm calling all around"
20201B49,Keith Mc Mahon,g,6,TRUE,04/06/2020,NA,19/04/2020,08/05/2020,08/05/2020,5.2,3,7,7,7,0,7,16.84,NA,tx42362,NA,no visits on fp
20201B5,Keith Mc Mahon,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
20201B51,Keith Mc Mahon,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
20201B52,Keith Mc Mahon,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
20201B53,Keith Mc Mahon,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
20201B54,Keith Mc Mahon,NA,6,TRUE,26/05/2020,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
20201B55,Keith Mc Mahon,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
20201B56,Keith Mc Mahon,b,6,TRUE,18/05/2020,NA,14/04/2020,05/05/2020,04/05/2020,3.3,3,9,8,0,8,0,NA,afh4382,avl3020,NA,"female unringed, not hatched, nothing on fp"
20201B57,Keith Mc Mahon,g,6,TRUE,10/06/2020,NA,19/04/2020,10/05/2020,11/05/2020,4.4,3,9,9,9,0,9,17.59,NA,tw77051,NA,"female unringed, not hatched, not hatched, nothing on fp, both parents alarm calling"
20201B58,Keith Mc Mahon,b,6,TRUE,04/06/2020,NA,27/04/2020,15/05/2020,14/05/2020,3.3,3,6,6,5,3,2,8.96,NA,afh4060,"avl3484, avl3485, avl3483",only caught female
20201B59,Keith Mc Mahon,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
