"species","Model_Code","Metric_Code","Trait_Code","pct_change","Model","Metric"
"Cygnus olor","NoPeak","Mean","Lifespan",-0.047587417712148,"No-senescence-peak","Mean Lifespan"
"Cygnus olor","NoPeak","Var","Lifespan",-7.95320981724209,"No-senescence-peak","Variance Lifespan"
"Cygnus olor","NoPeak","Skew","Lifespan",-35.8276840807432,"No-senescence-peak","Skewness Lifespan"
"Cygnus olor","NoEarly","Mean","Lifespan",-0.5599333199628,"No-senescence-early","Mean Lifespan"
"Cygnus olor","NoEarly","Var","Lifespan",-12.6502314686485,"No-senescence-early","Variance Lifespan"
"Cygnus olor","NoEarly","Skew","Lifespan",-42.1557634557778,"No-senescence-early","Skewness Lifespan"
"Cygnus olor","NoLate","Mean","Lifespan",-0.180559915100976,"No-senescence-late","Mean Lifespan"
"Cygnus olor","NoLate","Var","Lifespan",-2.16279149920989,"No-senescence-late","Variance Lifespan"
"Cygnus olor","NoLate","Skew","Lifespan",-6.58092928018187,"No-senescence-late","Skewness Lifespan"
"Cygnus olor","NoPeak","Mean","LRO",-2.18783877007981,"No-senescence-peak","Mean LRO"
"Cygnus olor","NoPeak","Var","LRO",-6.6298353430845,"No-senescence-peak","Variance LRO"
"Cygnus olor","NoPeak","Skew","LRO",-5.05504985220262,"No-senescence-peak","Skewness LRO"
"Cygnus olor","NoEarly","Mean","LRO",2.4378677389309,"No-senescence-early","Mean LRO"
"Cygnus olor","NoEarly","Var","LRO",-0.458263687913397,"No-senescence-early","Variance LRO"
"Cygnus olor","NoEarly","Skew","LRO",-6.2199638413719,"No-senescence-early","Skewness LRO"
"Cygnus olor","NoLate","Mean","LRO",-1.35411746181703,"No-senescence-late","Mean LRO"
"Cygnus olor","NoLate","Var","LRO",-2.32909193429842,"No-senescence-late","Variance LRO"
"Cygnus olor","NoLate","Skew","LRO",-0.437116026031719,"No-senescence-late","Skewness LRO"
"Gopherus agassizii","NoPeak","Mean","Lifespan",0,"No-senescence-peak","Mean Lifespan"
"Gopherus agassizii","NoPeak","Var","Lifespan",0,"No-senescence-peak","Variance Lifespan"
"Gopherus agassizii","NoPeak","Skew","Lifespan",0,"No-senescence-peak","Skewness Lifespan"
"Gopherus agassizii","NoEarly","Mean","Lifespan",0.95641642731445,"No-senescence-early","Mean Lifespan"
"Gopherus agassizii","NoEarly","Var","Lifespan",18.3913049837365,"No-senescence-early","Variance Lifespan"
"Gopherus agassizii","NoEarly","Skew","Lifespan",29.4418962056871,"No-senescence-early","Skewness Lifespan"
"Gopherus agassizii","NoLate","Mean","Lifespan",0,"No-senescence-late","Mean Lifespan"
"Gopherus agassizii","NoLate","Var","Lifespan",0,"No-senescence-late","Variance Lifespan"
"Gopherus agassizii","NoLate","Skew","Lifespan",0,"No-senescence-late","Skewness Lifespan"
"Gopherus agassizii","NoPeak","Mean","LRO",0,"No-senescence-peak","Mean LRO"
"Gopherus agassizii","NoPeak","Var","LRO",0,"No-senescence-peak","Variance LRO"
"Gopherus agassizii","NoPeak","Skew","LRO",0,"No-senescence-peak","Skewness LRO"
"Gopherus agassizii","NoEarly","Mean","LRO",10.5474944815107,"No-senescence-early","Mean LRO"
"Gopherus agassizii","NoEarly","Var","LRO",46.5057686561647,"No-senescence-early","Variance LRO"
"Gopherus agassizii","NoEarly","Skew","LRO",33.7028600146009,"No-senescence-early","Skewness LRO"
"Gopherus agassizii","NoLate","Mean","LRO",0,"No-senescence-late","Mean LRO"
"Gopherus agassizii","NoLate","Var","LRO",0,"No-senescence-late","Variance LRO"
"Gopherus agassizii","NoLate","Skew","LRO",0,"No-senescence-late","Skewness LRO"
"Homo sapiens (Japan2009Female)","NoPeak","Mean","Lifespan",-1.1620638230447,"No-senescence-peak","Mean Lifespan"
"Homo sapiens (Japan2009Female)","NoPeak","Var","Lifespan",-1732.28415010868,"No-senescence-peak","Variance Lifespan"
"Homo sapiens (Japan2009Female)","NoPeak","Skew","Lifespan",191.117244668102,"No-senescence-peak","Skewness Lifespan"
"Homo sapiens (Japan2009Female)","NoEarly","Mean","Lifespan",-1.16583535764895,"No-senescence-early","Mean Lifespan"
"Homo sapiens (Japan2009Female)","NoEarly","Var","Lifespan",-2056.96288387177,"No-senescence-early","Variance Lifespan"
"Homo sapiens (Japan2009Female)","NoEarly","Skew","Lifespan",191.44768348857,"No-senescence-early","Skewness Lifespan"
"Homo sapiens (Japan2009Female)","NoLate","Mean","Lifespan",-1.15019538101401,"No-senescence-late","Mean Lifespan"
"Homo sapiens (Japan2009Female)","NoLate","Var","Lifespan",-1492.49382810291,"No-senescence-late","Variance Lifespan"
"Homo sapiens (Japan2009Female)","NoLate","Skew","Lifespan",190.731253130474,"No-senescence-late","Skewness Lifespan"
"Homo sapiens (Japan2009Female)","NoPeak","Mean","LRO",-6.84944315203,"No-senescence-peak","Mean LRO"
"Homo sapiens (Japan2009Female)","NoPeak","Var","LRO",-41.6439235178412,"No-senescence-peak","Variance LRO"
"Homo sapiens (Japan2009Female)","NoPeak","Skew","LRO",-53.2436045232187,"No-senescence-peak","Skewness LRO"
"Homo sapiens (Japan2009Female)","NoEarly","Mean","LRO",-6.51513144298228,"No-senescence-early","Mean LRO"
"Homo sapiens (Japan2009Female)","NoEarly","Var","LRO",-98.0603668820112,"No-senescence-early","Variance LRO"
"Homo sapiens (Japan2009Female)","NoEarly","Skew","LRO",-108.899116490577,"No-senescence-early","Skewness LRO"
"Homo sapiens (Japan2009Female)","NoLate","Mean","LRO",-6.826419606251,"No-senescence-late","Mean LRO"
"Homo sapiens (Japan2009Female)","NoLate","Var","LRO",-14.7204456387737,"No-senescence-late","Variance LRO"
"Homo sapiens (Japan2009Female)","NoLate","Skew","LRO",-10.2237197999854,"No-senescence-late","Skewness LRO"
"Homo sapiens (Sweden1891Female)","NoPeak","Mean","Lifespan",-1.04214819254934,"No-senescence-peak","Mean Lifespan"
"Homo sapiens (Sweden1891Female)","NoPeak","Var","Lifespan",-102.605409387368,"No-senescence-peak","Variance Lifespan"
"Homo sapiens (Sweden1891Female)","NoPeak","Skew","Lifespan",336.503252487108,"No-senescence-peak","Skewness Lifespan"
"Homo sapiens (Sweden1891Female)","NoEarly","Mean","Lifespan",-1.06594687316475,"No-senescence-early","Mean Lifespan"
"Homo sapiens (Sweden1891Female)","NoEarly","Var","Lifespan",-137.047849447365,"No-senescence-early","Variance Lifespan"
"Homo sapiens (Sweden1891Female)","NoEarly","Skew","Lifespan",375.273389048231,"No-senescence-early","Skewness Lifespan"
"Homo sapiens (Sweden1891Female)","NoLate","Mean","Lifespan",-0.923648769886816,"No-senescence-late","Mean Lifespan"
"Homo sapiens (Sweden1891Female)","NoLate","Var","Lifespan",-59.106488769254,"No-senescence-late","Variance Lifespan"
"Homo sapiens (Sweden1891Female)","NoLate","Skew","Lifespan",253.259420169104,"No-senescence-late","Skewness Lifespan"
